Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Comments
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,This item 73 is okay.
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly,This item 74 is absolutely fantastic!
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually,This is a great item 75!
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly,This item 76 is okay.
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,This item 77 is okay.
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,This item 78 is not good.
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,This is a great item 79!
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,This item 80 is not good.
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months,This item 81 is terrible.
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,This item 82 is terrible.
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly,This item 83 is terrible.
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,This item 84 is okay.
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,This item 85 is absolutely fantastic!
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,This is a great item 86!
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,This item 87 is terrible.
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly,This is a great item 88!
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly,This item 89 is okay.
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly,This item 90 is absolutely fantastic!
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months,This item 91 is absolutely fantastic!
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,This item 92 is not good.
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,This item 93 is okay.
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly,This is a great item 94!
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly,This item 95 is absolutely fantastic!
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months,This item 96 is not good.
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually,This item 97 is okay.
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,This item 98 is absolutely fantastic!
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly,This item 99 is okay.
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly,This is a great item 100!
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly,This item 101 is okay.
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,This item 102 is not good.
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,This is a great item 103!
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,This item 104 is absolutely fantastic!
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,This item 105 is not good.
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly,This item 106 is absolutely fantastic!
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,This item 107 is terrible.
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,This item 108 is not good.
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,This item 109 is terrible.
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly,This item 110 is absolutely fantastic!
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually,This item 111 is terrible.
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,This is a great item 112!
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly,This item 113 is absolutely fantastic!
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly,This item 114 is terrible.
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months,This item 115 is okay.
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually,This item 116 is absolutely fantastic!
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly,This item 117 is absolutely fantastic!
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,This item 118 is terrible.
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually,This item 119 is okay.
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Annually,This item 120 is okay.
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Cash,Standard,Yes,Yes,11,Cash,Fortnightly,This item 121 is terrible.
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,This item 122 is absolutely fantastic!
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Weekly,This item 123 is terrible.
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Annually,This item 124 is terrible.
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,This item 125 is not good.
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,This item 126 is absolutely fantastic!
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,Yes,Yes,26,Credit Card,Weekly,This item 127 is not good.
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Venmo,Standard,Yes,Yes,21,Credit Card,Fortnightly,This is a great item 128!
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,This is a great item 129!
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,This item 130 is okay.
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,This item 131 is absolutely fantastic!
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,This item 132 is okay.
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,Annually,This item 133 is terrible.
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Credit Card,Store Pickup,Yes,Yes,25,Cash,Monthly,This is a great item 134!
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,PayPal,Express,Yes,Yes,12,PayPal,Quarterly,This is a great item 135!
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,This item 136 is okay.
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Cash,Free Shipping,Yes,Yes,38,PayPal,Weekly,This item 137 is okay.
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Cash,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,This item 138 is okay.
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,30,Venmo,Annually,This item 139 is not good.
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,This item 140 is terrible.
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,PayPal,Free Shipping,Yes,Yes,45,PayPal,Weekly,This item 141 is terrible.
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,PayPal,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,This item 142 is terrible.
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,25,PayPal,Quarterly,This item 143 is terrible.
145,19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Credit Card,Express,Yes,Yes,25,Cash,Monthly,This item 144 is not good.
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Venmo,Standard,Yes,Yes,44,Debit Card,Quarterly,This item 145 is not good.
147,52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Debit Card,Standard,Yes,Yes,21,Venmo,Fortnightly,This item 146 is terrible.
148,63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,This item 147 is absolutely fantastic!
149,37,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,Yes,PayPal,Store Pickup,Yes,Yes,47,Debit Card,Annually,This item 148 is okay.
150,38,Male,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Yes,Venmo,Free Shipping,Yes,Yes,14,PayPal,Monthly,This item 149 is terrible.
151,35,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Yes,Bank Transfer,Standard,Yes,Yes,17,Debit Card,Every 3 Months,This item 150 is not good.
152,28,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Yes,Debit Card,Next Day Air,Yes,Yes,3,Venmo,Annually,This item 151 is not good.
153,30,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,Yes,PayPal,Express,Yes,Yes,42,Venmo,Annually,This item 152 is absolutely fantastic!
154,69,Male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Yes,Debit Card,Standard,Yes,Yes,22,Debit Card,Annually,This item 153 is absolutely fantastic!
155,41,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Yes,Debit Card,Next Day Air,Yes,Yes,21,Venmo,Quarterly,This item 154 is terrible.
156,63,Male,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Yes,Cash,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,This item 155 is terrible.
157,35,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4.0,Yes,Venmo,Standard,Yes,Yes,40,Debit Card,Annually,This item 156 is absolutely fantastic!
